Nome,in0,in1,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19,in2,in3,in4,in5,in6,in7,in8,in9
800-P5,27.9382,53.7842,8.26107,36.4307,17.6046,45.1582,47.2768,9.06889,9.49642,23.9032,9.92809,9.88023,18.4998,9.68273,1.001,12.2249,9.66235,52.6478,2.45537,29.7091
800-P50,16.6664,8.12363,135.447,183.46,458.483,149.019,74.5364,79.0767,149.261,223.171,138.245,14.3502,62.0379,113.846,222.032,103.67,135.374,102.829,83.4566,247.707
800-P6,3.98216,48.4496,24.4809,28.3956,31.1409,16.4522,19.1462,12.8755,34.7461,35.9846,19.7878,6.63109,8.67383,26.6955,34.5471,28.1625,75.4736,4.1055,44.2998,31.083
800-P60,714.643,271.757,120.485,59.8128,13.1816,202.173,75.9512,158.098,229.216,46.9779,304.349,162.849,682.613,24.1087,485.487,47.9473,106.685,515.808,146.387,499.041
800-P70,98.0129,401.45,194.577,55.59,503.536,163.607,494.145,48.4359,52.279,52.7002,269.235,182.252,34.8607,27.8411,63.901,90.7154,41.8108,21.024,465.661,13.4805
800-P80,420.767,44.0688,77.2115,166.121,36.8961,51.4309,131.806,550.158,304.769,267.727,219.338,43.1818,318.034,1020.67,78.6654,88.0293,297.776,539.778,537.072,80.3678
900-P1,23.4328,2.44579,2.50839,6.00281,1.10773,6.4621,2.41177,2.24865,3.17433,1.25232,7.78343,9.63688,1.40984,7.44751,1.82113,22.2914,9.95703,3.07496,1.41324,1.90147
900-P2,16.444,14.1216,20.2364,12.6897,120.561,1.9604,8.607,19.6095,23.516,30.3331,9.86209,13.7314,38.6289,16.9614,12.8859,5.03245,10.0227,6.82302,14.7539,34.1615
900-P3,9.91913,35.6314,25.3657,15.7631,6.80631,29.2644,14.5311,2.97774,52.1904,14.2986,35.2048,3.16741,9.60945,17.4352,3.29863,15.5552,26.9725,4.20301,23.6375,14.5352
900-P30,228.211,227.696,112.869,1020.76,130.67,4.86963,281.494,107.911,17.6052,181.61,56.22,98.627,56.7034,41.6704,17.366,210.361,114.555,38.4941,11.7202,36.0504
900-P4,20.267,6.27599,15.7557,21.3999,24.738,6.3335,36.6839,14.1603,22.1624,14.0413,10.1882,63.2497,95.2775,223.243,17.2448,6.9341,19.0061,30.6267,11.5459,15.9873
900-P40,395.064,97.152,104.684,18.7539,76.6746,334.978,109.876,219.345,108.547,55.6677,282.283,132.769,31.335,38.5336,307.228,65.5372,43.0473,79.1764,36.5959,340.099
900-P5,62.9217,63.1539,72.0732,28.0336,25.3861,25.0416,18.6952,101.429,12.1661,23.5615,8.28442,11.057,3.05004,48.1914,9.74153,99.1471,52.9031,61.9481,66.558,24.983
900-P50,283.274,21.4306,728.991,21.1711,59.3671,144.307,331.264,977.068,109.796,154.087,458.98,111.906,380.074,35.0999,72.9675,128.822,252.98,129.9,881.712,37.0755
900-P6,30.9716,3.01897,43.2597,25.794,2.13429,19.9189,23.5616,25.8168,2.91014,6.45854,53.7643,37.0384,17.6231,6.3891,109.826,11.9985,61.2896,14.1808,46.0747,42.3334
900-P60,283.458,283.621,814.423,1447.6,77.2387,487.646,231.938,230.987,104.617,117.342,340.099,287.227,31.3404,117.959,50.9976,185.81,84.4879,160.919,634.587,181.335
900-P70,150.93,40.9289,31.4849,203.864,463.855,128.822,12.2632,54.9495,220.375,533.624,201.7,53.1494,134.165,127.027,216.956,47.9893,98.8862,83.0158,186.472,195.361
900-P80,249.009,77.1459,226.006,601.279,252.372,9.40718,59.0623,413.349,94.911,203.847,1062.33,436.962,2577.93,232.763,9.1747,291.419,72.8252,521.919,1367.18,295.947
B-300,0.031096,0.227006,18.4287,11.6187,0.160326,0.209254,1.13994,0.196876,1.37572,0.532185,0.159417,5.68644,4.37981,0.075307,0.224903,0.094716,1.07131,0.195871,14.4218,0.119535
B-300-1,3.08472,2.39958,0.167616,1.07206,0.291572,0.193842,5.88364,15.0824,1.37905,7.78213,0.556651,0.479667,3.52247,9.91155,4.63745,0.389797,2.72126,2.66876,6.22906,4.44343
B-300-101,78.6719,9.52728,0.206294,1.22456,0.193826,3.24758,3.33029,3.93397,6.78189,3.55214,9.44313,0.375224,39.7799,0.20996,0.430418,3.78113,5.80588,0.241249,10.9189,0.183931
B-300-201,0.108952,0.077326,0.182311,0.044349,0.147247,0.07143,0.064953,0.060671,0.055813,0.089363,0.118905,0.027348,0.070729,0.132446,0.116523,0.072992,0.059638,0.098193,0.138671,0.154705
B-500,0.457154,0.094716,0.480987,20.753,36.1485,0.65145,0.357087,0.16635,162.415,0.714873,18.5043,3.31821,7.24612,0.440551,23.717,25.4679,0.128679,0.519408,0.512149,14.485
B-500-1,38.4768,35.6728,16.3275,2.72764,18.7183,18.1144,171.821,15.2175,3.28716,4.01557,7.93801,22.089,27.3058,18.8137,13.0933,6.04986,7.6475,8.00462,49.9913,5.80661
B-500-168,1.14755,0.680953,749.173,4.18744,0.816712,0.711902,0.867223,0.810045,57.2951,28.8711,1.15247,0.691649,28.2554,0.734592,13.7128,1.33689,0.813955,0.743437,1.0964,4.60912
B-500-335,0.532592,0.185342,0.314529,0.270865,0.008969,0.162718,0.332576,0.222611,0.607706,0.144783,0.530671,0.154872,0.350082,0.439099,0.432119,0.32641,0.077633,0.05885,0.36529,0.539822
B-700,1.82403,0.910779,55.5143,0.172491,0.796927,1.4883,0.453754,0.382315,0.86076,204.574,2.87835,0.459187,37.7774,8.79274,71.8109,0.788723,14.4045,1.6032,15.0889,11.8143
B-700-1,10.9241,46.5107,55.8487,49.1293,11.1095,157.933,5.182,138.195,18.5432,36.8376,84.9621,0.014841,9.38553,28.8846,5.82544,63.3254,65.4536,169.066,6.6947,77.1919
B-700-235,2.28803,39.1288,88.1359,97.028,4.12762,1.17984,158.239,1.52614,3.03029,68.277,2.19023,574.059,1.30656,55.0132,5.94735,72.7191,1.46271,1.56264,1.53991,3.10932
B-700-468,0.434211,0.403369,0.701405,1.06143,0.298548,0.692267,0.37518,1.46799,0.466584,1.61802,0.600401,0.919026,1.77763,1.09382,1.00662,0.052502,1.72802,1.47575,0.463971,1.55896
B-900,227.316,0.132166,76.9313,2.6876,1.42287,42.085,2.08058,10.8551,34.9008,0.81996,64.1591,0.622181,2.79743,1.41762,32.703,2.96438,0.917329,136.686,462.941,4.365
C25-10,0.001193,0.00245,0.0037,0.002552,0.002321,0.00258,0.005483,0.002646,0.005009,0.002696,0.002102,0.002358,0.002583,0.003877,0.004448,0.002388,0.002207,0.003154,0.002093,0.002253
C25-11,0.002143,0.002457,0.002957,0.002417,0.002423,0.005434,0.004793,0.009332,0.002823,0.00243,0.002641,0.002773,0.002386,0.002657,0.004606,0.003074,0.004371,0.008205,0.002169,0.002732
