Nome,in0,in1,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19,in2,in3,in4,in5,in6,in7,in8,in9
50-P10,0.030728,0.003628,0.021218,0.005079,0.012493,0.01197,0.011003,0.019409,0.009047,0.003031,0.006349,0.015481,0.013115,0.01396,0.012522,0.027929,0.008419,0.012361,0.004269,0.004156
50-P2,0.0029,0.002272,0.002398,0.002133,0.002539,0.002266,0.002829,0.002801,0.002636,0.002886,0.002734,0.003898,0.002707,0.003294,0.002827,0.004714,0.003189,0.002973,0.002381,0.002428
50-P3,0.003063,0.00246,0.003829,0.003043,0.002874,0.003125,0.003533,0.003216,0.00331,0.003162,0.003113,0.002348,0.002621,0.003239,0.002984,0.002281,0.003419,0.003023,0.004891,0.002726
50-P4,0.005869,0.005139,0.003244,0.003181,0.003003,0.0028,0.003515,0.003902,0.002929,0.005667,0.003364,0.002652,0.002829,0.0028,0.00327,0.002856,0.00323,0.006544,0.002872,0.004029
50-P5,0.003533,0.003546,0.003217,0.003397,0.003345,0.004258,0.006563,0.003631,0.003612,0.005251,0.003154,0.002581,0.00291,0.003765,0.003593,0.003357,0.003419,0.004708,0.003457,0.003479
50-P6,0.003352,0.00407,0.002832,0.003545,0.004325,0.004914,0.004012,0.003209,0.003551,0.003049,0.002921,0.0044,0.002766,0.004557,0.002641,0.006392,0.002609,0.003619,0.013169,0.004637
50-P7,0.004732,0.002601,0.003687,0.002707,0.002627,0.003678,0.002762,0.002817,0.005833,0.003006,0.004174,0.004721,0.003742,0.004443,0.006234,0.016837,0.003923,0.002603,0.006898,0.007155
50-P8,0.007328,0.018751,0.016026,0.015976,0.0052,0.005474,0.008131,0.00295,0.003672,0.009959,0.010149,0.009216,0.011701,0.004244,0.011142,0.027513,0.009707,0.01421,0.002766,0.004911
50-P9,0.013284,0.004348,0.007788,0.011828,0.005267,0.006007,0.033231,0.00519,0.009085,0.028486,0.007511,0.021686,0.007914,0.006081,0.006078,0.01445,0.005978,0.008377,0.013198,0.014256
500-P1,0.056018,0.242027,0.027252,0.089069,0.075186,0.042665,0.026644,0.12273,0.06623,0.086632,0.256647,0.176039,0.048704,0.193631,0.161662,0.038661,0.153371,0.100801,0.033117,0.199988
500-P2,11.7787,1.76489,0.563044,6.24202,2.89726,3.64164,3.74737,5.61384,6.70287,0.727112,5.37277,1.28497,0.72414,2.37647,6.47152,0.662336,2.78824,1.30882,1.21073,3.84349
500-P3,1.0093,1.667,3.25203,3.49048,1.30445,8.11082,0.20478,1.40685,1.47748,7.14924,2.41579,0.54989,1.5237,1.40694,3.03629,1.72296,2.6538,0.714937,2.85681,0.202181
500-P30,11.3469,7.07189,20.3943,17.1517,24.6317,7.72071,44.9156,28.1594,29.373,50.8847,16.8879,9.03168,30.4253,26.3817,7.53583,40.8723,8.97007,30.4068,1.89313,31.0101
500-P4,3.04585,1.05503,0.494631,2.15619,1.0072,17.3149,1.31221,21.2246,3.03123,5.48667,0.494473,11.0818,2.71545,1.03121,6.16405,14.9173,0.816953,3.66991,1.69491,1.92363
500-P40,17.6247,31.2672,31.1476,8.93066,34.8361,3.25626,54.2562,2.92924,11.2674,56.0847,42.4571,8.48733,49.4085,2.92719,78.3231,49.9781,120.541,63.0872,61.5592,25.1447
500-P5,1.78137,10.8747,2.84681,10.3665,0.295722,2.63552,17.1933,1.74722,4.28554,6.04526,1.52293,6.49384,1.31278,3.10224,2.28286,3.98021,4.96031,23.9023,1.05395,1.31762
500-P50,7.25767,102.651,16.2355,1.60362,115.149,8.1703,45.4287,44.8251,3.72008,24.9092,10.0631,4.73837,72.8883,18.6319,17.7302,28.9872,10.5332,20.5098,2.75085,3.59559
500-P6,8.33687,0.536593,2.2505,7.65236,5.19024,3.01487,3.63665,8.37455,1.49069,2.13893,9.66025,1.86657,5.67419,2.49013,10.8499,4.94485,5.68808,4.39228,5.09719,0.712805
500-P60,6.5695,5.77511,45.7449,105.215,33.4174,15.1922,262.114,6.40875,2.32273,27.3828,61.7264,37.464,11.1084,68.7765,42.2875,118.977,3.22854,45.0853,2.94178,67.2146
500-P70,50.0806,5.73657,198.226,34.5425,22.7763,8.40409,16.5284,53.118,19.9576,54.3014,5.82928,13.0888,6.0871,49.3517,40.0462,53.1575,11.5654,43.8063,91.2644,83.8058
500-P80,15.6962,4.85802,105.071,16.347,4.63301,38.4275,4.25613,1.95107,28.0581,58.3179,2.15877,34.0663,15.7643,2.41613,4.89509,57.5681,50.3172,51.2711,7.07163,28.0176
600-P1,0.402574,0.047867,0.279762,0.037966,0.053082,0.36965,0.038806,0.907811,1.82206,0.232736,1.79363,0.432268,0.060367,1.30965,0.159219,0.879639,0.155141,0.493047,0.716332,0.169766
600-P2,0.996187,2.49949,3.2521,13.8408,8.16462,9.43609,3.49274,3.37455,2.07185,10.1254,2.70763,4.11343,8.30745,2.44362,8.00984,1.26738,1.01963,10.7923,9.73747,5.24446
600-P3,0.642077,11.8115,1.49505,6.97215,9.53963,1.34786,2.02361,3.24728,37.1048,0.66804,16.1819,7.53073,17.1118,2.09305,4.31102,0.627679,5.18494,0.985364,4.06388,10.9181
600-P30,10.9842,75.5544,24.304,42.4666,92.2894,52.1018,19.3975,15.3112,5.15031,21.1248,36.8807,30.9089,42.1859,44.124,16.8743,13.8594,25.0808,4.70778,49.1537,7.02231
600-P4,1.40892,10.6503,12.2096,14.6194,31.3077,7.55175,1.15168,3.53779,6.79009,4.12633,4.17443,9.97954,8.14491,3.07169,31.7194,10.3252,3.10395,4.14741,6.11936,13.6831
600-P40,24.1381,156.116,31.3117,24.9079,230.459,115.607,21.6297,51.2239,2.18344,16.1988,19.5327,94.0137,297.941,21.9572,34.1215,21.5563,48.6898,95.6972,4.13084,25.8636
600-P5,6.37134,26.2827,5.18625,22.2502,12.6506,1.86159,1.32383,0.895521,12.6503,6.19405,4.49954,1.93715,7.27896,2.05304,2.77542,6.98626,49.4784,8.88888,3.39026,3.0938
600-P50,32.2661,9.87304,55.5853,11.2056,52.0363,4.2307,88.0476,3.13837,55.9123,124.268,22.8873,193.242,8.1321,43.1715,16.6831,349.72,49.836,26.7345,79.3991,39.7856
600-P6,25.7053,5.69914,4.02196,2.01402,10.5001,5.53488,6.00735,5.24919,1.38278,17.1794,9.14732,1.92468,10.9389,12.9328,19.1468,47.0268,2.45024,33.6074,10.6733,5.56841
600-P60,4.18104,6.57166,7.91025,3.32823,4.58849,87.1068,152.013,7.51896,7.67668,251.126,141.153,76.3041,16.2211,182.316,91.7864,60.6001,98.9514,5.16372,176.248,160.296
600-P70,18.5609,40.2731,267.408,15.0854,55.5351,241.781,76.7251,168.97,22.0007,49.9041,6.32907,140.886,108.151,69.8248,23.116,11.1172,66.8655,114.883,78.2497,54.6634
600-P80,87.0473,41.1943,90.9933,29.3767,11.5119,18.0139,150.641,76.7847,151.952,17.1585,57.1144,138.412,67.2425,32.8756,40.1392,44.1243,44.1044,465.033,22.3119,16.7573
700-P1,0.816654,0.682438,1.59527,1.08143,1.64835,0.179301,0.498579,2.56565,0.612064,6.02686,0.991666,2.14662,1.12625,0.778602,0.704901,8.6277,0.275318,0.469846,0.218074,1.0897
700-P2,3.19036,5.42186,4.36513,6.496,3.57246,9.58627,5.01694,2.2701,15.2602,18.8588,2.06769,3.18348,3.56475,5.5478,1.411,22.4879,8.94024,13.3431,0.889626,1.73824
700-P3,8.20517,1.44299,11.7341,18.5932,9.94824,17.1209,11.8367,1.1238,10.0439,21.0735,7.46532,10.115,13.2781,3.0683,1.0375,14.1817,4.67907,4.22647,3.4874,22.3786
700-P30,54.03,15.488,17.6109,5.40143,47.5991,9.36265,8.47593,293.696,94.1212,61.9373,27.2465,7.22708,81.2341,76.4008,20.6069,19.0542,55.5168,39.1538,11.2499,112.245
700-P4,3.80235,3.38469,10.1849,5.87075,14.7521,8.48018,33.3391,26.3612,1.2353,12.4269,15.7319,16.1308,3.41752,6.0354,3.33314,5.44125,11.5937,5.86597,5.07666,4.71843
700-P40,69.9435,28.0326,73.6789,145.325,97.9976,41.5641,7.99832,47.4752,100.335,54.5848,203.025,186.583,17.0508,12.681,5.89654,161.168,140.94,19.1925,77.0661,8.45746
700-P5,10.8782,9.40547,26.2387,7.11913,12.1421,11.3978,9.6631,29.0384,5.57544,3.22822,25.5931,4.98508,4.56338,9.82616,12.1667,24.2679,39.7143,9.7102,6.38339,16.9732
700-P50,243.758,47.7496,99.0209,206.744,76.3885,239.917,72.4335,166.612,37.6292,17.149,273.842,13.9485,345.447,117.32,16.0188,156.544,125.602,276.23,18.1676,771.824
700-P6,18.7669,6.2074,13.4718,10.2608,10.9366,44.6732,14.6011,37.4228,8.17942,30.2309,1.50511,2.02294,36.2729,16.5253,24.4847,9.67491,13.2931,11.4766,14.6538,8.18555
700-P60,125.845,93.5276,86.6334,50.45,197.775,56.9573,155.416,62.0339,116.808,356.289,150.89,332.647,25.3643,27.1813,365.948,78.0309,51.6942,45.1053,133.1,19.8958
700-P70,89.5566,15.4471,14.2831,9.39276,62.1939,208.534,49.8963,12.67,481.689,158.926,598.793,11.7565,358.865,11.1483,184.272,22.3838,90.4542,211.274,572.706,152.849
700-P80,5.49923,378.045,41.233,784.655,246.08,156.324,5.27914,584.296,29.3626,327.648,161.602,23.5179,37.6203,53.8448,47.2364,96.6245,120.352,94.4725,111.75,145.223
800-P1,6.22016,2.45859,10.4361,0.146612,0.896145,3.0418,4.78334,7.38537,0.100674,2.42288,0.987044,1.72774,0.837326,6.96988,7.41618,9.43844,2.2904,7.7644,0.434437,6.16826
800-P2,3.05225,3.95567,5.11275,6.98273,5.58983,15.9837,17.2641,3.05944,17.1804,24.0662,43.7085,34.9552,27.6567,26.2372,8.27014,51.084,9.27197,3.46808,3.0629,4.25953
800-P3,17.6331,13.8507,6.34944,10.2658,11.7089,19.7611,11.2855,3.22819,3.12889,2.66677,31.4647,20.9034,14.0802,25.5131,5.60037,19.6219,5.33469,14.1671,5.05887,5.84026
800-P30,154.809,27.8414,71.9427,97.3963,73.0768,82.686,181.455,109.445,78.9493,14.079,372.949,85.8627,32.6585,49.7862,97.9058,213.474,137.471,62.764,77.9761,58.0291
800-P4,15.1317,29.9696,3.83184,19.7565,16.7224,0.796002,18.6468,4.1085,1.24201,5.31562,17.9722,20.3902,2.0682,13.8046,53.3658,15.1708,15.3432,2.73539,19.5566,20.237
800-P40,12.4184,142.249,159.492,92.9835,69.789,48.9732,21.9143,17.0284,95.277,224.016,13.3739,99.3551,48.1919,95.2359,9.46548,34.4571,120.433,149.731,29.2011,94.8942
800-P5,20.6541,13.1988,9.22014,21.088,4.07611,8.66087,60.0838,22.621,22.0314,1.34078,5.75904,6.1434,22.2213,82.6547,30.6894,10.569,6.54528,3.04614,19.092,53.6695
800-P50,302.993,75.5064,91.3073,399.162,66.9827,199.139,117.483,382.905,500.711,168.752,271.663,502.227,77.6503,95.7804,67.5573,204.128,122.112,148.835,15.8523,140.131
800-P6,14.0871,38.5021,19.5934,5.2095,16.7167,22.9377,9.31395,27.4232,8.73827,19.0528,141.656,18.3041,39.8941,48.2076,21.9694,20.565,16.982,28.1885,21.1543,9.8629
800-P60,169.327,296.524,119.628,422.543,40.5836,1258.35,103.852,49.265,79.9259,12.5697,32.3319,733.763,116.903,25.8573,57.1986,272.292,214.05,890.59,307.147,343.969
800-P70,85.9254,512.96,274.525,112.239,101.583,128.859,68.4484,13.2604,41.5036,344.897,863.077,136.827,107.706,147.662,206.52,295.83,57.7915,172.18,26.2511,13.3887
800-P80,89.8724,761.118,22.3891,272.709,199.182,211.746,25.4287,58.2091,350.485,46.5444,253.678,90.5023,1288.42,401.976,641.807,2317.96,95.5615,250.013,273.019,637.288
900-P1,4.93006,3.26631,16.84,8.56212,3.35779,2.92525,2.26161,14.1526,0.893601,7.20877,1.90273,0.28829,4.88905,13.3072,9.95458,0.112239,6.4682,15.1544,0.68818,1.7773
900-P2,7.8231,18.1036,19.448,1.25115,29.2071,11.9311,9.18263,11.6221,1.21904,10.2255,3.61178,18.3803,14.7204,5.25038,13.6669,10.0245,4.02777,35.52,50.5347,9.11018
